"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Sep 18 14:32:28 IST 2026","Fri Sep 18 14:34:10 IST 2026","101537","Suite","M2006C3MII","com.intelehealth.tests.AppSetupTest","com.intelehealth.tests.AppSetupTest","IDA4_1942_verifySetUpScreenUIElements","Verify that UI of set up screen",""
"passed","Fri Sep 18 14:31:23 IST 2026","Fri Sep 18 14:31:25 IST 2026","2275","Suite","M2006C3MII","com.intelehealth.tests.AppSetupTest","com.intelehealth.tests.AppSetupTest","IDA4_1940_verifySkipOnTheIntroductoryScreen"," Verify clicking on Skip on theintroductory screens",""
"passed","Fri Sep 18 14:31:43 IST 2026","Fri Sep 18 14:31:46 IST 2026","2925","Suite","M2006C3MII","com.intelehealth.tests.AppSetupTest","com.intelehealth.tests.AppSetupTest","IDA4_1943_verifyTermsAndConditionCheckBox","Verify that user is able to navigate to setup page when the terms & conditions box is checked",""
"passed","Fri Sep 18 14:32:04 IST 2026","Fri Sep 18 14:32:10 IST 2026","5876","Suite","M2006C3MII","com.intelehealth.tests.AppSetupTest","com.intelehealth.tests.AppSetupTest","IDA4_1943_verifyForgotUsernameDialogBox","Verify that user is able to navigate to setup page when the terms & conditions box is checked",""
"passed","Fri Sep 18 14:30:57 IST 2026","Fri Sep 18 14:31:04 IST 2026","6781","Suite","M2006C3MII","com.intelehealth.tests.AppSetupTest","com.intelehealth.tests.AppSetupTest","IDA4_1939_verifySelectLanguage","Verify user can select any of the language and click Next","Verifies that the user can select any language from the available options and navigate through the introductory screen."
