"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Sep 11 18:27:13 IST 2026","Fri Sep 11 18:29:36 IST 2026","142807","Suite","M2006C3MII","com.intelehealth.tests.VisitSummaryTest","com.intelehealth.tests.VisitSummaryTest","IDA4_2203_verifyIfBookedAppointmentIsReflectingInAppointments","Verify if booked appointment is reflecting in appointments",""
"passed","Fri Sep 11 13:12:58 IST 2026","Fri Sep 11 13:17:30 IST 2026","271538","Suite","M2006C3MII","com.intelehealth.tests.AppointmentsTest","com.intelehealth.tests.AppointmentsTest","IDA4_2367_verifySelectingAnyTimeSlotsAndClickingOnBookAppointment","Verify selecting any time slots & clicking on book appointment",""
"broken","Fri Sep 11 17:17:39 IST 2026","Fri Sep 11 17:22:27 IST 2026","287614","Suite","M2006C3MII","com.intelehealth.tests.VisitSummaryTest","com.intelehealth.tests.VisitSummaryTest","IDA4_2176_verifyTheChangesAreSavedWhenPatientDetailsAreUpdated","Verify the changes are saved when patient details are updated",""
"passed","Fri Sep 11 14:24:34 IST 2026","Fri Sep 11 14:25:20 IST 2026","46765","Suite","M2006C3MII","com.intelehealth.tests.PrescriptionsTest","com.intelehealth.tests.PrescriptionsTest","IDA4_2089_verifyThatUserCanCallPatient","Verify that user can call patient",""
"passed","Fri Sep 11 15:37:11 IST 2026","Fri Sep 11 15:37:14 IST 2026","3084","Suite","M2006C3MII","com.intelehealth.tests.CloseVisitsTest","com.intelehealth.tests.CloseVisitsTest","IDA4_2236_verifyRecentVisitsSection","Verify the functionality of Recent Visits section",""
"passed","Fri Sep 11 16:07:56 IST 2026","Fri Sep 11 16:08:12 IST 2026","16230","Suite","M2006C3MII","com.intelehealth.tests.LoginMenuTest","com.intelehealth.tests.LoginMenuTest","IDA4_1957_verifyHamburgerMenu","Verify if clicking on the Hamburger menu open the menu page",""
"passed","Fri Sep 11 16:13:52 IST 2026","Fri Sep 11 16:13:55 IST 2026","2829","Suite","M2006C3MII","com.intelehealth.tests.AchievementsPageTest","com.intelehealth.tests.AchievementsPageTest","verifyReportTabs","Verify End Date can be selected from calendar",""
"broken","Thu Sep 10 16:07:36 IST 2026","Thu Sep 10 16:07:53 IST 2026","17242","Suite","M2006C3MII","com.intelehealth.tests.StartVisit3And4StepsTest","com.intelehealth.tests.StartVisit3And4StepsTest","IDA4_2624_verifyConfirmButtonFunctionality","Verify Back button functionality on Physical examination summary screen",""
"passed","Fri Sep 11 14:21:59 IST 2026","Fri Sep 11 14:22:24 IST 2026","25025","Suite","M2006C3MII","com.intelehealth.tests.PrescriptionsTest","com.intelehealth.tests.PrescriptionsTest","IDA4_2085_verifyTheCountOfPatientsAwaitingPrescriptionsAreCorrect","Verify the count of patients awaiting prescriptions are correct",""
"passed","Fri Sep 11 15:56:38 IST 2026","Fri Sep 11 15:56:43 IST 2026","5585","Suite","M2006C3MII","com.intelehealth.tests.FollowupVisitsTest","com.intelehealth.tests.FollowupVisitsTest","testEnterSearchPatientByName","verify search patient by Name",""
"passed","Fri Sep 11 12:57:40 IST 2026","Fri Sep 11 12:57:50 IST 2026","9999","Suite","M2006C3MII","com.intelehealth.tests.AppointmentsTest","com.intelehealth.tests.AppointmentsTest","IDA4_2397_verifyAppointmentDetailsScreenIsDisplayedFromUpcomingAppointments","verify that the appointment details screen is displayed when clicking on 'Visit' under the upcoming section",""
"passed","Fri Sep 11 15:20:18 IST 2026","Fri Sep 11 15:22:03 IST 2026","105429","Suite","M2006C3MII","com.intelehealth.tests.EndToEndTest","com.intelehealth.tests.EndToEndTest","IDA4_2159_LoginPrescriptionsReceivedWhatsappToPatient","Login, Prescriptions, Received/Pending, Whatsapp to patient",""
"skipped","Fri Sep 11 17:06:45 IST 2026","Fri Sep 11 17:06:46 IST 2026","1017","Suite","M2006C3MII","com.intelehealth.tests.StartVisit1And2StepsTest","com.intelehealth.tests.StartVisit1And2StepsTest","IDA4_2515_verifyTenOfTwelveQuestionsIsAutoPopulated","Verify entering any data in describe field or select any option and click on submit button in 9 of 12",""
"passed","Fri Sep 11 16:02:21 IST 2026","Fri Sep 11 16:02:25 IST 2026","3872","Suite","M2006C3MII","com.intelehealth.tests.FollowupVisitsTest","com.intelehealth.tests.FollowupVisitsTest","testClickPatientInFollowUpVisitList","Verify clicking on a patient in the follow-up visit list navigates to the correct patient details screen",""
"passed","Fri Sep 11 14:09:14 IST 2026","Fri Sep 11 14:09:31 IST 2026","16331","Suite","M2006C3MII","com.intelehealth.tests.DashboardModuleTest","com.intelehealth.tests.DashboardModuleTest","IDA4_2075_verifyThatAddPatientOnBottomNavigateToPrivacyPolicyPage","Verify that Add patient on bottom navigate to privacy policy page",""
"passed","Fri Sep 11 13:45:52 IST 2026","Fri Sep 11 13:45:56 IST 2026","3441","Suite","M2006C3MII","com.intelehealth.tests.EditProfileTest","com.intelehealth.tests.EditProfileTest","IDA4_1998_verifyNonEditableFields","Verify user can able to see the please contact adminstrator when clicks on non editable fields ",""
"skipped","Fri Sep 11 17:06:47 IST 2026","Fri Sep 11 17:06:48 IST 2026","1071","Suite","M2006C3MII","com.intelehealth.tests.StartVisit1And2StepsTest","com.intelehealth.tests.StartVisit1And2StepsTest","IDA4_2519_verifyIsMenstruatingOptionInTenOftTwelveQuestions","Verify when user selects ''Is menstruating'' option in 10 of 12",""
"unknown","Fri Sep 11 12:56:37 IST 2026","Fri Sep 11 12:56:37 IST 2026","0","Suite","M2006C3MII","com.intelehealth.tests.StartVisit1And2StepsTest","com.intelehealth.tests.StartVisit1And2StepsTest","IDA4_2432_VerifyChangeButtonOfVitalSummaryScreen","Verify clicking on the change button of details section on Vital summary",""
"broken","Thu Sep 10 16:23:05 IST 2026","Thu Sep 10 16:23:23 IST 2026","17999","Suite","M2006C3MII","com.intelehealth.tests.StartVisit3And4StepsTest","com.intelehealth.tests.StartVisit3And4StepsTest","IDA4_2646_verifyUserAbleToEnterDataInTextBox","Verify the user is able to enter data into the textbox on Family history screen",""
"passed","Fri Sep 11 14:36:16 IST 2026","Fri Sep 11 14:38:03 IST 2026","107282","Suite","M2006C3MII","com.intelehealth.tests.PrescriptionsTest","com.intelehealth.tests.PrescriptionsTest","IDA4_2102_verifyUserCanShareThroughWhatsapp","Verify user can share through whatsapp",""
"unknown","Fri Sep 11 12:56:36 IST 2026","Fri Sep 11 12:56:36 IST 2026","0","Suite","M2006C3MII","com.intelehealth.tests.StartVisit1And2StepsTest","com.intelehealth.tests.StartVisit1And2StepsTest","IDA4_2464_verifyUserCanGoTo3rdQuestionWithoutSelecting2ndQuestion","Verify whether user able to go to 3rd question without selecting option/answer for 2nd question",""
"broken","Fri Sep 11 13:35:28 IST 2026","Fri Sep 11 13:37:12 IST 2026","104028","Suite","M2006C3MII","com.intelehealth.tests.AppointmentsTest","com.intelehealth.tests.AppointmentsTest","IDA4_2392_verifySearchByOpenMrsIdInUpcomingAppointments","Verify the HW can able to search the appointments by patient openmrs idIn Upcoming Appointments",""
"broken","Thu Sep 10 16:34:14 IST 2026","Thu Sep 10 16:34:31 IST 2026","17544","Suite","M2006C3MII","com.intelehealth.tests.StartVisit3And4StepsTest","com.intelehealth.tests.StartVisit3And4StepsTest","IDA4_2653_verifyFamilyHistoryScreenChangeButton","Verify Change button functionality for family history on Medical history summary screen",""
"passed","Fri Sep 11 13:18:17 IST 2026","Fri Sep 11 13:18:32 IST 2026","14930","Suite","M2006C3MII","com.intelehealth.tests.AppointmentsTest","com.intelehealth.tests.AppointmentsTest","IDA4_2368_verifyTheConfirmAppointmentPopup","Verify the confirm appointment popup",""
"unknown","Fri Sep 11 12:56:36 IST 2026","Fri Sep 11 12:56:36 IST 2026","0","Suite","M2006C3MII","com.intelehealth.tests.StartVisit1And2StepsTest","com.intelehealth.tests.StartVisit1And2StepsTest","IDA4_2430_verifyDeatilsOnVitalSummaryScreen","Verify the details section on Vital summary",""
"broken","Thu Sep 10 16:37:57 IST 2026","Thu Sep 10 16:38:15 IST 2026","18132","Suite","M2006C3MII","com.intelehealth.tests.StartVisit3And4StepsTest","com.intelehealth.tests.StartVisit3And4StepsTest","IDA4_2655_verifyBackButtonFunctionality","Verify Back button functionality on Medical history summary screen",""
"passed","Thu Sep 10 15:19:29 IST 2026","Thu Sep 10 15:19:34 IST 2026","4957","Suite","M2006C3MII","com.intelehealth.tests.StartVisit3And4StepsTest","com.intelehealth.tests.StartVisit3And4StepsTest","IDA4_2574_verifyTwoOfSixQuestionIsDisplayed","Verify 2 of 6 questions is shown to user",""
"broken","Thu Sep 10 17:20:47 IST 2026","Thu Sep 10 17:21:05 IST 2026","17581","Suite","M2006C3MII","com.intelehealth.tests.StartVisit3And4StepsTest","com.intelehealth.tests.StartVisit3And4StepsTest","IDA4_2647_verifyFamilyHistoryDescribeSection","Verify Describe section of the question on Family history screen",""
"passed","Fri Sep 11 17:03:07 IST 2026","Fri Sep 11 17:03:20 IST 2026","12780","Suite","M2006C3MII","com.intelehealth.tests.AddNewPatientTest","com.intelehealth.tests.AddNewPatientTest","IDA4_2265_addProfilePhotoAndVerify","Verify if user clicks on While using the app/only this time",""
"passed","Fri Sep 11 18:36:07 IST 2026","Fri Sep 11 18:36:15 IST 2026","8243","Suite","M2006C3MII","com.intelehealth.tests.ChangeLanguageAndProtocolTest","com.intelehealth.tests.ChangeLanguageAndProtocolTest","IDA4_2035_VerifyUpdateWithValidServerURLAndLicenseKey","Verify that user can update using valid Server url and License key",""
"passed","Fri Sep 11 16:10:29 IST 2026","Fri Sep 11 16:10:34 IST 2026","4554","Suite","M2006C3MII","com.intelehealth.tests.LoginMenuTest","com.intelehealth.tests.LoginMenuTest","IDA4_2050_verifyLogoutFunctionality","Verify the User can logout from app",""
"broken","Fri Sep 11 13:00:30 IST 2026","Fri Sep 11 13:02:17 IST 2026","107077","Suite","M2006C3MII","com.intelehealth.tests.AppointmentsTest","com.intelehealth.tests.AppointmentsTest","IDA4_2406_verifySpecificRadioButtonForAppointments","Verify when user selects specific radio button for appointments filter","Deprecated due to new UI redesign"
"passed","Fri Sep 11 13:53:15 IST 2026","Fri Sep 11 13:53:51 IST 2026","35569","Suite","M2006C3MII","com.intelehealth.tests.DashboardModuleTest","com.intelehealth.tests.DashboardModuleTest","IDA4_2061_verifyThatFindPatientSearchBoxDisplayedAndClickFunctionality","Verify that Find patient search box displayed and click functionality",""
"broken","Fri Sep 11 15:11:03 IST 2026","Fri Sep 11 15:13:28 IST 2026","145137","Suite","M2006C3MII","com.intelehealth.tests.EndToEndTest","com.intelehealth.tests.EndToEndTest","IDA4_2157_LoginFindPatientStartVisitSendVisitNoVisitCreatedEarlier","Login, Find patient, Start visit, Send visit [No visit created earlier]",""
"broken","Thu Sep 10 15:59:34 IST 2026","Thu Sep 10 15:59:52 IST 2026","17346","Suite","M2006C3MII","com.intelehealth.tests.StartVisit3And4StepsTest","com.intelehealth.tests.StartVisit3And4StepsTest","IDA4_2621_verifyChangeButtonFunctionality","Verify Change button functionality on Physical examination summary screen",""
"passed","Fri Sep 11 14:44:05 IST 2026","Fri Sep 11 14:44:33 IST 2026","28035","Suite","M2006C3MII","com.intelehealth.tests.PrescriptionsTest","com.intelehealth.tests.PrescriptionsTest","IDA4_2105_verifyThatUserCanEndVisit","Verify that user can End visit",""
"skipped","Fri Sep 11 17:06:37 IST 2026","Fri Sep 11 17:06:38 IST 2026","904","Suite","M2006C3MII","com.intelehealth.tests.StartVisit1And2StepsTest","com.intelehealth.tests.StartVisit1And2StepsTest","IDA4_2493_verifyClickingOnOtherOptionDisplaysDescribeTextArea","Verify clicking on Others [Describe] section in 6 of 12",""
"passed","Fri Sep 11 15:34:00 IST 2026","Fri Sep 11 15:34:04 IST 2026","4057","Suite","M2006C3MII","com.intelehealth.tests.CloseVisitsTest","com.intelehealth.tests.CloseVisitsTest","IDA4_2241_verifyConfirmButton","Verify clicking on Confirm button",""
"unknown","Fri Sep 11 12:56:37 IST 2026","Fri Sep 11 12:56:37 IST 2026","0","Suite","M2006C3MII","com.intelehealth.tests.StartVisit1And2StepsTest","com.intelehealth.tests.StartVisit1And2StepsTest","IDA4_2467_VerifyDescribeSection","Verify by not selecting any options and click on submit button of 2 of 12",""
"skipped","Fri Sep 11 17:07:07 IST 2026","Fri Sep 11 17:07:08 IST 2026","963","Suite","M2006C3MII","com.intelehealth.tests.StartVisit1And2StepsTest","com.intelehealth.tests.StartVisit1And2StepsTest","IDA4_2447_verifyAllReasonFunctionality","Verify the functionality of 'All reason' section",""
"broken","Thu Sep 10 16:57:51 IST 2026","Thu Sep 10 16:58:08 IST 2026","17459","Suite","M2006C3MII","com.intelehealth.tests.StartVisit3And4StepsTest","com.intelehealth.tests.StartVisit3And4StepsTest","IDA4_2633_verifyOtherDescribeFunctionality","Verify Other [Describe] textbox functionality on Patient history screen",""
"passed","Fri Sep 11 16:56:41 IST 2026","Fri Sep 11 16:58:37 IST 2026","115390","Suite","M2006C3MII","com.intelehealth.tests.AddNewPatientTest","com.intelehealth.tests.AddNewPatientTest","IDA4_2317_verifyContinueButtonFuntionality","Verify Continue button functionality when clicked on Start visit",""
"broken","Fri Sep 11 15:31:35 IST 2026","Fri Sep 11 15:32:18 IST 2026","42663","Suite","M2006C3MII","com.intelehealth.tests.EndToEndTest","com.intelehealth.tests.EndToEndTest","IDA4_2162_LoginPrescriptionsReceivedVisitSummaryHome","Login, Prescriptions, Received, Visit summary, Home",""
"unknown","Fri Sep 11 12:56:36 IST 2026","Fri Sep 11 12:56:36 IST 2026","0","Suite","M2006C3MII","com.intelehealth.tests.AppointmentsTest","com.intelehealth.tests.AppointmentsTest","IDA4_2408_verifyAllTabCalenderFilter","Verify user can select the FROM and TO dates from calendar filter in All tab section","Deprecated due to new UI redesign"
"unknown","Fri Sep 11 12:56:37 IST 2026","Fri Sep 11 12:56:37 IST 2026","0","Suite","M2006C3MII","com.intelehealth.tests.StartVisit1And2StepsTest","com.intelehealth.tests.StartVisit1And2StepsTest","IDA4_2421_checkBMIStatusWithDifferentValues","Verify the status of BMI index by changing different height & weight and if editable field",""
"broken","Fri Sep 11 18:19:18 IST 2026","Fri Sep 11 18:24:07 IST 2026","289010","Suite","M2006C3MII","com.intelehealth.tests.VisitSummaryTest","com.intelehealth.tests.VisitSummaryTest","IDA4_2202_verifyClickingOnAppointmentButtonFunctionalityAfterVisitIsSentToDoctor","Verify clicking on Appointment button functionality after visit is sent to doctor",""
"passed","Fri Sep 18 12:56:47 IST 2026","Fri Sep 18 12:56:52 IST 2026","5684","Suite","M2006C3MII","com.intelehealth.tests.AppSetupTest","com.intelehealth.tests.AppSetupTest","IDA4_1943_verifyForgotUsernameDialogBox","Verify that user is able to navigate to setup page when the terms & conditions box is checked",""
"passed","Fri Sep 11 13:58:19 IST 2026","Fri Sep 11 13:58:54 IST 2026","35038","Suite","M2006C3MII","com.intelehealth.tests.DashboardModuleTest","com.intelehealth.tests.DashboardModuleTest","IDA4_2066_verifyThatCloseVisitsSectionDisplayTheNumberOfUnclosedVisit","Verify that Close visits section display the number of unclosed visit",""
"broken","Thu Sep 10 17:40:28 IST 2026","Thu Sep 10 17:41:03 IST 2026","35821","Suite","M2006C3MII","com.intelehealth.tests.StartVisit3And4StepsTest","com.intelehealth.tests.StartVisit3And4StepsTest","IDA4_2611_verifyClickingOnPhotoInSixOfSix","Verify when user selects take photo option in 6 of 6",""
"skipped","Fri Sep 11 17:06:38 IST 2026","Fri Sep 11 17:06:39 IST 2026","954","Suite","M2006C3MII","com.intelehealth.tests.StartVisit1And2StepsTest","com.intelehealth.tests.StartVisit1And2StepsTest","IDA4_2496_verifySixOftwelveQuestionsSubmitButtonFuntionality","Verify entering any data in describe field or select any option and click on submit button in 6 of 12",""
"skipped","Fri Sep 11 17:06:58 IST 2026","Fri Sep 11 17:06:59 IST 2026","1070","Suite","M2006C3MII","com.intelehealth.tests.StartVisit1And2StepsTest","com.intelehealth.tests.StartVisit1And2StepsTest","IDA4_2551_verifyChangeButtonOfAbdominalPain","Verify the functionality of change button of Abdominal pain(selected visit reason) on 2/4 Visit Reason summary page",""
"unknown","Fri Sep 11 12:56:36 IST 2026","Fri Sep 11 12:56:36 IST 2026","0","Suite","M2006C3MII","com.intelehealth.tests.StartVisit1And2StepsTest","com.intelehealth.tests.StartVisit1And2StepsTest","IDA4_2439_VerifyTheFunctionalityOfRemoveOption","Verify user can remove the selected reason",""
"broken","Fri Sep 11 14:59:55 IST 2026","Fri Sep 11 15:02:17 IST 2026","142264","Suite","M2006C3MII","com.intelehealth.tests.EndToEndTest","com.intelehealth.tests.EndToEndTest","IDA4_2155_loginAddPatientPatientRegisterStartVisitSendVisit","Login, Add patient, Patient register, Start visit, Send visit",""
"broken","Fri Sep 11 16:33:56 IST 2026","Fri Sep 11 16:34:59 IST 2026","63158","Suite","M2006C3MII","com.intelehealth.tests.AddNewPatientTest","com.intelehealth.tests.AddNewPatientTest","IDA4_2295_verifyNextButtonFunctionalityOnAddressScreen","Verify Next button functionality on Address screen",""
"skipped","Fri Sep 11 17:06:55 IST 2026","Fri Sep 11 17:06:56 IST 2026","1070","Suite","M2006C3MII","com.intelehealth.tests.StartVisit1And2StepsTest","com.intelehealth.tests.StartVisit1And2StepsTest","IDA4_2541_verifyDescribeTextAreaIsDisplayed","Verify when user selects yes option for '7. change in frequency of urination[Describe]' symptom",""
"unknown","Fri Sep 11 12:56:36 IST 2026","Fri Sep 11 12:56:36 IST 2026","0","Suite","M2006C3MII","com.intelehealth.tests.StartVisit1And2StepsTest","com.intelehealth.tests.StartVisit1And2StepsTest","IDA4_2435_verifyConfirmButtonfuntionality","Verify the functionality of Confirm button on 1/4 vital summary screen",""
"broken","Thu Sep 10 17:05:17 IST 2026","Thu Sep 10 17:05:34 IST 2026","17264","Suite","M2006C3MII","com.intelehealth.tests.StartVisit3And4StepsTest","com.intelehealth.tests.StartVisit3And4StepsTest","IDA4_2636_verifyCalenderSelectionOption","Verify calendar selection option on Patient history screen",""
"unknown","Fri Sep 11 12:56:37 IST 2026","Fri Sep 11 12:56:37 IST 2026","0","Suite","M2006C3MII","com.intelehealth.tests.StartVisit1And2StepsTest","com.intelehealth.tests.StartVisit1And2StepsTest","IDA4_2452_verifySelectedReasons","Verify the functionality of Back button after selecting a reason on 2/4 visit reason screen",""
"passed","Fri Sep 11 16:03:21 IST 2026","Fri Sep 11 16:03:29 IST 2026","8266","Suite","M2006C3MII","com.intelehealth.tests.LoginMenuTest","com.intelehealth.tests.LoginMenuTest","IDA4_1949_verifyWelcomeBackTitle","Verify if the 'Welcome Back' title is displayed on the login screen.",""
"failed","Fri Sep 11 15:40:46 IST 2026","Fri Sep 11 15:40:50 IST 2026","3733","Suite","M2006C3MII","com.intelehealth.tests.CloseVisitsTest","com.intelehealth.tests.CloseVisitsTest","IDA4_2237_verifyAboveLastSevenDaysPatientsAreDisplayedInRecentVisits","Verify whether last 7 days visited Patient's are only reflecting under Recent Visits section",""
"unknown","Fri Sep 11 12:56:37 IST 2026","Fri Sep 11 12:56:37 IST 2026","0","Suite","M2006C3MII","com.intelehealth.tests.StartVisit1And2StepsTest","com.intelehealth.tests.StartVisit1And2StepsTest","IDA4_2413_verifyVitalsScreenUi","Verify the UI of first page of Vitals (1/4 Vitals)",""
"passed","Fri Sep 11 14:41:32 IST 2026","Fri Sep 11 14:41:57 IST 2026","24937","Suite","M2006C3MII","com.intelehealth.tests.PrescriptionsTest","com.intelehealth.tests.PrescriptionsTest","IDA4_2109_verifyTheAwaitingPrescriptionNotificationIsDisplayedAlongWithTheCount","Verify the Awaiting prescription notification is displayed along with the count",""
"broken","Thu Sep 10 16:03:17 IST 2026","Thu Sep 10 16:03:34 IST 2026","17298","Suite","M2006C3MII","com.intelehealth.tests.StartVisit3And4StepsTest","com.intelehealth.tests.StartVisit3And4StepsTest","IDA4_2623_verifyBackButtonFunctionality","Verify Back button functionality on Physical examination summary screen",""
"passed","Fri Sep 11 16:09:15 IST 2026","Fri Sep 11 16:09:27 IST 2026","11966","Suite","M2006C3MII","com.intelehealth.tests.LoginMenuTest","com.intelehealth.tests.LoginMenuTest","IDA4_1959_verifyUserProfile","Verify that user profile is displayed on top of the menu page",""
"passed","Fri Sep 11 14:42:49 IST 2026","Fri Sep 11 14:43:14 IST 2026","25510","Suite","M2006C3MII","com.intelehealth.tests.PrescriptionsTest","com.intelehealth.tests.PrescriptionsTest","IDA4_2110_verifyThatRecentVisitsDisplayInList","Verify that recent visits display in list",""
"passed","Fri Sep 11 15:39:07 IST 2026","Fri Sep 11 15:40:00 IST 2026","53118","Suite","M2006C3MII","com.intelehealth.tests.CloseVisitsTest","com.intelehealth.tests.CloseVisitsTest","IDA4_2238_verifyAboveSevenDaysPatientsAreDisplayedInOlderVisits","Verify whether above 7 days visited Patient's are only reflecting under Older Visits section",""
"broken","Fri Sep 11 15:53:25 IST 2026","Fri Sep 11 15:53:48 IST 2026","23615","Suite","M2006C3MII","com.intelehealth.tests.NotificationTest","com.intelehealth.tests.NotificationTest","IDA4_2140_verifyThatUserCanViewTheRecentReceivedPrescriptionNotificationOnTop","Verify that user can view the recent received prescription notification on top",""
"broken","Thu Sep 10 16:45:25 IST 2026","Thu Sep 10 16:45:43 IST 2026","17353","Suite","M2006C3MII","com.intelehealth.tests.StartVisit3And4StepsTest","com.intelehealth.tests.StartVisit3And4StepsTest","IDA4_2628_verifyUserAbleToSelectOneOrMoreOption","Verify that user can select one or more options for the questions allowed on Patient history screen",""
"broken","Thu Sep 10 16:19:04 IST 2026","Thu Sep 10 16:19:22 IST 2026","17545","Suite","M2006C3MII","com.intelehealth.tests.StartVisit3And4StepsTest","com.intelehealth.tests.StartVisit3And4StepsTest","IDA4_2645_verifyTextBoxIsDisplayed","Verify if Other option is selected on Family history screen",""
"skipped","Fri Sep 11 17:07:06 IST 2026","Fri Sep 11 17:07:07 IST 2026","976","Suite","M2006C3MII","com.intelehealth.tests.StartVisit1And2StepsTest","com.intelehealth.tests.StartVisit1And2StepsTest","IDA4_2443_verifySelectingValueFromSearchResults","Verify selecting from search results",""
"passed","Fri Sep 11 16:36:00 IST 2026","Fri Sep 11 16:37:45 IST 2026","105031","Suite","M2006C3MII","com.intelehealth.tests.AddNewPatientTest","com.intelehealth.tests.AddNewPatientTest","IDA4_2309_verifyChangeOptionForPersonalDetails"," Verify clicking on change option for personal details",""
"unknown","Fri Sep 11 12:56:36 IST 2026","Fri Sep 11 12:56:36 IST 2026","0","Suite","M2006C3MII","com.intelehealth.tests.AppointmentsTest","com.intelehealth.tests.AppointmentsTest","IDA4_2341_verifyIfOnlyTodaysDateAppointmentsAreShowingUnderTodaysTab","Verify if only Today's date appointments are showing under Today's tab","Deprecated due to new UI redesign"
"broken","Fri Sep 11 15:44:19 IST 2026","Fri Sep 11 15:44:45 IST 2026","26447","Suite","M2006C3MII","com.intelehealth.tests.FindPatientTest","com.intelehealth.tests.FindPatientTest","IDA4_2226_verifyInvalidPatientIdSearch"," Verify the Search functionality by entering invalid patient id in the search box",""
"passed","Fri Sep 11 16:24:54 IST 2026","Fri Sep 11 16:25:02 IST 2026","8031","Suite","M2006C3MII","com.intelehealth.tests.AchievementsPageTest","com.intelehealth.tests.AchievementsPageTest","testHomePageUIElements","Verify Home page labels and icons are displayed",""
"skipped","Fri Sep 11 17:07:01 IST 2026","Fri Sep 11 17:07:02 IST 2026","955","Suite","M2006C3MII","com.intelehealth.tests.StartVisit1And2StepsTest","com.intelehealth.tests.StartVisit1And2StepsTest","IDA4_2556_verifyFunctionalityOfConfirmButtonOnVisitReasonSummaryScreen","Verify the functionality of Confirm button on 2/4 Visit Reason summary page ",""
"broken","Thu Sep 10 17:36:28 IST 2026","Thu Sep 10 17:37:02 IST 2026","33597","Suite","M2006C3MII","com.intelehealth.tests.StartVisit3And4StepsTest","com.intelehealth.tests.StartVisit3And4StepsTest","IDA4_2601_verifyClickingOnPhotoInFiveOfSix","Verify when user selects take photo option in 5 of 6",""
"skipped","Fri Sep 11 17:06:44 IST 2026","Fri Sep 11 17:06:45 IST 2026","948","Suite","M2006C3MII","com.intelehealth.tests.StartVisit1And2StepsTest","com.intelehealth.tests.StartVisit1And2StepsTest","IDA4_2511_verifyDescribeTextAreaIsDisplayedInNineOfTwelveQuestions","Verify clicking on Others [Describe] section in 9 of 12",""
"passed","Fri Sep 11 13:10:53 IST 2026","Fri Sep 11 13:11:02 IST 2026","8973","Suite","M2006C3MII","com.intelehealth.tests.AppointmentsTest","com.intelehealth.tests.AppointmentsTest","IDA4_2361_verifyUserGetsTheSelectRescheduleReasonPopupByClickingYes","Verify user gets the select Reschedule reason popup by clicking yes",""
"passed","Fri Sep 11 14:13:30 IST 2026","Fri Sep 11 14:13:32 IST 2026","2278","Suite","M2006C3MII","com.intelehealth.tests.ForgotPasswordTest","com.intelehealth.tests.ForgotPasswordTest","verifyForgotPasswordWithEmptyUsername","Verify Forgot Password with empty username (negative)","Verifies Forgot Password functionality with an empty username field."
"passed","Fri Sep 11 13:52:08 IST 2026","Fri Sep 11 13:52:24 IST 2026","16098","Suite","M2006C3MII","com.intelehealth.tests.DashboardModuleTest","com.intelehealth.tests.DashboardModuleTest","IDA4_2060_verifyThatNotificationIconNavigateToNotificationPage","Verify that Notification icon navigate to Notification page",""
"skipped","Fri Sep 11 17:06:51 IST 2026","Fri Sep 11 17:06:52 IST 2026","924","Suite","M2006C3MII","com.intelehealth.tests.StartVisit1And2StepsTest","com.intelehealth.tests.StartVisit1And2StepsTest","IDA4_2527_verifyDescribeTextAreaIsDisplayedInElevenOfTwelveQuestions","Verify clicking on Yes [Describe] section in 11 of 12",""
"broken","Fri Sep 11 14:54:43 IST 2026","Fri Sep 11 14:57:05 IST 2026","142310","Suite","M2006C3MII","com.intelehealth.tests.EndToEndTest","com.intelehealth.tests.EndToEndTest","IDA4_2154_logiAddPatientPatientRegisterUpdatePatientDetails","Login, Add patient, Patient register, Update patient details",""
"passed","Fri Sep 11 13:55:42 IST 2026","Fri Sep 11 13:55:56 IST 2026","13732","Suite","M2006C3MII","com.intelehealth.tests.DashboardModuleTest","com.intelehealth.tests.DashboardModuleTest","IDA4_2064_verifyThatPrescriptionSectionShouldDisplayTheReceivedPrescriptionsOutOfTotalPrecriptions","Verify that Prescription section should display the Received Prescriptions out of total Precriptions",""
"broken","Fri Sep 11 14:18:57 IST 2026","Fri Sep 11 14:21:07 IST 2026","130036","Suite","M2006C3MII","com.intelehealth.tests.PrescriptionsTest","com.intelehealth.tests.PrescriptionsTest","IDA4_2080_verifyIfThePrescriptionIsSharedOnEnteringAValidNumber","Verify if the prescription is shared on entering a valid number",""
"broken","Thu Sep 10 17:56:28 IST 2026","Thu Sep 10 17:56:28 IST 2026","1","Suite","M2006C3MII","com.intelehealth.tests.StartVisit3And4StepsTest","com.intelehealth.tests.StartVisit3And4StepsTest","beforeMethod","beforeMethod",""
"broken","Fri Sep 11 14:49:20 IST 2026","Fri Sep 11 14:51:42 IST 2026","142007","Suite","M2006C3MII","com.intelehealth.tests.EndToEndTest","com.intelehealth.tests.EndToEndTest","IDA4_2153_loginAddPatientPatientRegister","Login, Add patient, Patient register",""
"passed","Fri Sep 11 14:17:39 IST 2026","Fri Sep 11 14:18:06 IST 2026","26160","Suite","M2006C3MII","com.intelehealth.tests.PrescriptionsTest","com.intelehealth.tests.PrescriptionsTest","IDA4_2107_verifyUserWillGetTheFollowUpAlertPopUpWhenEndTheVisit","Verify user will get the follow up alert pop up when End the visit",""
