"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Sep 11 17:07:04 IST 2026","Fri Sep 11 17:07:05 IST 2026","928","Suite","M2006C3MII","com.intelehealth.tests.StartVisit1And2StepsTest","com.intelehealth.tests.StartVisit1And2StepsTest","IDA4_2525_verifyUserAllowedSelectOnlyOneOptionInElevenOfTwelveQuestions","Verify whether user able to select one or more options in 11 of 12",""
"passed","Fri Sep 18 12:56:23 IST 2026","Fri Sep 18 12:56:26 IST 2026","3198","Suite","M2006C3MII","com.intelehealth.tests.AppSetupTest","com.intelehealth.tests.AppSetupTest","IDA4_1943_verifyTermsAndConditionCheckBox","Verify that user is able to navigate to setup page when the terms & conditions box is checked",""
"passed","Fri Sep 11 12:58:37 IST 2026","Fri Sep 11 12:58:46 IST 2026","9632","Suite","M2006C3MII","com.intelehealth.tests.AppointmentsTest","com.intelehealth.tests.AppointmentsTest","IDA4_2397_verifyAppointmentDetailsScreenIsDisplayedFromPastAppointments","verify that the appointment details screen is displayed when clicking on 'Visit' under the past section",""
"passed","Fri Sep 11 14:14:53 IST 2026","Fri Sep 11 14:14:56 IST 2026","3053","Suite","M2006C3MII","com.intelehealth.tests.ForgotPasswordTest","com.intelehealth.tests.ForgotPasswordTest","verifyForgotPasswordWithEmptyMobileNumber","Verify Forgot Password with empty mobile number (negative)","Verifies Forgot Password functionality with an empty mobile number field."
"passed","Fri Sep 11 16:16:06 IST 2026","Fri Sep 11 16:16:10 IST 2026","3180","Suite","M2006C3MII","com.intelehealth.tests.AchievementsPageTest","com.intelehealth.tests.AchievementsPageTest","verifyReportTabs","Verify End Date can be selected from calendar",""
"passed","Fri Sep 11 13:38:55 IST 2026","Fri Sep 11 13:39:11 IST 2026","16118","Suite","M2006C3MII","com.intelehealth.tests.EditProfileTest","com.intelehealth.tests.EditProfileTest","IDA4_1987_verifyMyProfilePage","Verify that Edit profile navigates to My Profile page",""
"passed","Thu Sep 10 15:11:18 IST 2026","Thu Sep 10 15:11:20 IST 2026","2128","Suite","M2006C3MII","com.intelehealth.tests.StartVisit3And4StepsTest","com.intelehealth.tests.StartVisit3And4StepsTest","IDA4_2564_verifyTakeAPictureOption","Verify when user selects Take a picture in 1 of 6",""
"broken","Fri Sep 11 18:11:27 IST 2026","Fri Sep 11 18:16:16 IST 2026","288718","Suite","M2006C3MII","com.intelehealth.tests.VisitSummaryTest","com.intelehealth.tests.VisitSummaryTest","IDA4_2200_verifyBehaviorOnClickingYesInSendVisitPopup","Verify behavior on clicking Yes in send visit popup",""
"broken","Fri Sep 11 15:35:47 IST 2026","Fri Sep 11 15:36:24 IST 2026","36849","Suite","M2006C3MII","com.intelehealth.tests.CloseVisitsTest","com.intelehealth.tests.CloseVisitsTest","IDA4_2249_verifyUserAbleToCloseVisitsFromRecentAndOlderSection","Verify whether user able to close visits of both Recent and Older visits section",""
"passed","Fri Sep 11 14:12:30 IST 2026","Fri Sep 11 14:12:40 IST 2026","10704","Suite","M2006C3MII","com.intelehealth.tests.ForgotPasswordTest","com.intelehealth.tests.ForgotPasswordTest","verifyForgotPasswordWithValidUsername","Verify Forgot Password with valid username (positive)","Verifies Forgot Password functionality with a valid username."
