"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 18 13:34:03 IST 2026","Fri Sep 18 13:34:09 IST 2026","6092","Suite","M2006C3MII","com.intelehealth.tests.AppSetupTest","com.intelehealth.tests.AppSetupTest","IDA4_1943_verifyForgotUsernameDialogBox","Verify that user is able to navigate to setup page when the terms & conditions box is checked",""
"passed","Fri Sep 18 13:34:28 IST 2026","Fri Sep 18 13:34:32 IST 2026","4266","Suite","M2006C3MII","com.intelehealth.tests.AppSetupTest","com.intelehealth.tests.AppSetupTest","IDA4_1942_verifySetUpScreenUIElements","Verify that UI of set up screen",""
"passed","Fri Sep 18 13:33:19 IST 2026","Fri Sep 18 13:33:22 IST 2026","2632","Suite","M2006C3MII","com.intelehealth.tests.AppSetupTest","com.intelehealth.tests.AppSetupTest","IDA4_1940_verifySkipOnTheIntroductoryScreen"," Verify clicking on Skip on theintroductory screens",""
"passed","Fri Sep 18 13:33:41 IST 2026","Fri Sep 18 13:33:44 IST 2026","3271","Suite","M2006C3MII","com.intelehealth.tests.AppSetupTest","com.intelehealth.tests.AppSetupTest","IDA4_1943_verifyTermsAndConditionCheckBox","Verify that user is able to navigate to setup page when the terms & conditions box is checked",""
"passed","Fri Sep 18 13:32:44 IST 2026","Fri Sep 18 13:32:59 IST 2026","15036","Suite","M2006C3MII","com.intelehealth.tests.AppSetupTest","com.intelehealth.tests.AppSetupTest","IDA4_1939_verifySelectLanguage","Verify user can select any of the language and click Next","Verifies that the user can select any language from the available options and navigate through the introductory screen."
